set,training,validation,testing
fold 1,1.92,4.62,3.29
fold 2,2.05,3.08,2.59
fold 3,1.92,2.44,5.37
fold 4,2.2,2.08,3.33
fold 5,2.03,2.98,3.64
fold 6,1.63,5.19,3.5
ave.,1.96,3.4,3.62
